# of elements,operation,duration (ns)
124610,Memory,3526360
124710,Insert,1638
124710,Find,654
124710,Delete,914
124710,Memory,3525672
124810,Insert,1175
124810,Find,613
124810,Delete,1229
124810,Memory,3523144
124910,Insert,1395
124910,Find,784
124910,Delete,1269
124910,Memory,3530760
125010,Insert,1591
125010,Find,789
125010,Delete,1392
125010,Memory,3538024
125110,Insert,861
125110,Find,606
125110,Delete,995
125110,Memory,3535240
125210,Insert,982
125210,Find,553
125210,Delete,803
125210,Memory,3540200
125310,Insert,994
125310,Find,541
125310,Delete,905
125310,Memory,3547976
125410,Insert,928
125410,Find,551
125410,Delete,950
125410,Memory,3544552
125510,Insert,923
125510,Find,630
125510,Delete,958
125510,Memory,3552200
125610,Insert,1061
125610,Find,528
125610,Delete,960
125610,Memory,3553160
125710,Insert,970
125710,Find,514
125710,Delete,960
125710,Memory,3552984
125810,Insert,714
125810,Find,457
125810,Delete,907
125810,Memory,3558488
125910,Insert,1008
125910,Find,518
125910,Delete,824
125910,Memory,3560024
126010,Insert,991
126010,Find,595
126010,Delete,943
126010,Memory,3564344
126110,Insert,1082
126110,Find,542
126110,Delete,901
126110,Memory,3572872
126210,Insert,922
126210,Find,652
126210,Delete,824
126210,Memory,3573576
126310,Insert,1047
126310,Find,713
126310,Delete,939
126310,Memory,3576072
126410,Insert,968
126410,Find,560
126410,Delete,1165
126410,Memory,3571016
126510,Insert,1027
126510,Find,648
126510,Delete,917
126510,Memory,3573464
126610,Insert,1063
126610,Find,604
126610,Delete,1040
126610,Memory,3578584
126710,Insert,1669
126710,Find,729
126710,Delete,1284
126710,Memory,3575800
126810,Insert,976
126810,Find,571
126810,Delete,825
126810,Memory,3585112
126910,Insert,1222
126910,Find,778
126910,Delete,1144
126910,Memory,3590248
127010,Insert,938
127010,Find,557
127010,Delete,869
127010,Memory,3598856
127110,Insert,1080
127110,Find,533
127110,Delete,740
127110,Memory,3599496
127210,Insert,933
127210,Find,622
127210,Delete,898
127210,Memory,3604776
127310,Insert,846
127310,Find,597
127310,Delete,1084
127310,Memory,3604008
127410,Insert,1210
127410,Find,550
127410,Delete,857
127410,Memory,3605416
127510,Insert,1052
127510,Find,549
127510,Delete,1096
127510,Memory,3598024
127610,Insert,1039
127610,Find,520
127610,Delete,882
127610,Memory,3606264
127710,Insert,1263
127710,Find,732
127710,Delete,1152
127710,Memory,3609992
127810,Insert,1064
127810,Find,713
127810,Delete,1249
127810,Memory,3616984
127910,Insert,963
127910,Find,494
127910,Delete,834
127910,Memory,3610680
128010,Insert,890
128010,Find,523
128010,Delete,1000
128010,Memory,3622744
128110,Insert,1682
128110,Find,820
128110,Delete,1306
128110,Memory,3631736
128210,Insert,995
128210,Find,621
128210,Delete,874
128210,Memory,3628712
128310,Insert,965
128310,Find,584
128310,Delete,1102
128310,Memory,3629528
128410,Insert,1603
128410,Find,850
128410,Delete,1238
128410,Memory,3629464
128510,Insert,779
128510,Find,497
128510,Delete,919
128510,Memory,3636248
128610,Insert,782
128610,Find,520
128610,Delete,1022
128610,Memory,3638344
128710,Insert,957
128710,Find,568
128710,Delete,880
128710,Memory,3647784
128810,Insert,1008
128810,Find,532
128810,Delete,843
128810,Memory,3639288
128910,Insert,990
128910,Find,590
128910,Delete,819
128910,Memory,3642088
129010,Insert,1212
129010,Find,704
129010,Delete,1037
129010,Memory,3641320
129110,Insert,843
129110,Find,505
129110,Delete,1026
129110,Memory,3659144
129210,Insert,969
129210,Find,603
129210,Delete,859
129210,Memory,3659240
129310,Insert,1053
129310,Find,534
129310,Delete,820
129310,Memory,3656936
129410,Insert,875
129410,Find,545
129410,Delete,874
129410,Memory,3655864
129510,Insert,924
129510,Find,572
129510,Delete,1070
129510,Memory,3663944
129610,Insert,1064
129610,Find,669
129610,Delete,984
129610,Memory,3672584
129710,Insert,1017
129710,Find,581
129710,Delete,1102
129710,Memory,3666136
129810,Insert,921
129810,Find,565
129810,Delete,1027
129810,Memory,3670264
129910,Insert,1164
129910,Find,545
129910,Delete,774
129910,Memory,3673624
130010,Insert,1030
130010,Find,632
130010,Delete,878
130010,Memory,3670808
130110,Insert,1001
130110,Find,574
130110,Delete,848
130110,Memory,3684168
130210,Insert,937
130210,Find,430
130210,Delete,942
130210,Memory,3689400
130310,Insert,1359
130310,Find,583
130310,Delete,880
130310,Memory,3689448
130410,Insert,982
130410,Find,501
130410,Delete,770
130410,Memory,3687112
130510,Insert,965
130510,Find,635
130510,Delete,922
130510,Memory,3685240
130610,Insert,1103
130610,Find,487
130610,Delete,992
130610,Memory,3698232
130710,Insert,977
130710,Find,649
130710,Delete,980
130710,Memory,3694920
130810,Insert,1248
130810,Find,611
130810,Delete,815
130810,Memory,3696520
130910,Insert,1182
130910,Find,642
130910,Delete,865
130910,Memory,3695816
131010,Insert,1058
131010,Find,572
131010,Delete,961
131010,Memory,3699192
131110,Insert,1002
131110,Find,575
131110,Delete,914
131110,Memory,3709448
131210,Insert,971
131210,Find,523
131210,Delete,984
131210,Memory,3712664
131310,Insert,923
131310,Find,555
131310,Delete,763
131310,Memory,3714568
131410,Insert,1103
131410,Find,672
131410,Delete,869
131410,Memory,3723752
131510,Insert,1026
131510,Find,593
131510,Delete,913
131510,Memory,3714152
131610,Insert,1481
131610,Find,927
131610,Delete,1341
131610,Memory,3725032
131710,Insert,969
131710,Find,611
131710,Delete,855
131710,Memory,3723336
131810,Insert,1006
131810,Find,579
131810,Delete,921
131810,Memory,3726504
131910,Insert,1341
131910,Find,691
131910,Delete,1064
131910,Memory,3724392
132010,Insert,1252
132010,Find,856
132010,Delete,1294
132010,Memory,3730472
132110,Insert,902
132110,Find,569
132110,Delete,829
132110,Memory,3748360
132210,Insert,1040
132210,Find,685
132210,Delete,862
132210,Memory,3737224
132310,Insert,1060
132310,Find,511
132310,Delete,845
132310,Memory,3747064
132410,Insert,1032
132410,Find,671
132410,Delete,902
132410,Memory,3747880
132510,Insert,991
132510,Find,600
132510,Delete,832
132510,Memory,3745992
132610,Insert,1226
132610,Find,496
132610,Delete,974
132610,Memory,3747704
132710,Insert,945
132710,Find,661
132710,Delete,822
132710,Memory,3750136
132810,Insert,1205
132810,Find,677
132810,Delete,1219
132810,Memory,3751960
132910,Insert,1285
132910,Find,673
132910,Delete,1013
132910,Memory,3754392
133010,Insert,1055
133010,Find,661
133010,Delete,976
133010,Memory,3765000
133110,Insert,1126
133110,Find,739
133110,Delete,1255
133110,Memory,3761144
133210,Insert,1003
133210,Find,530
133210,Delete,869
133210,Memory,3762488
133310,Insert,959
133310,Find,546
133310,Delete,840
133310,Memory,3773352
133410,Insert,1058
133410,Find,587
133410,Delete,873
133410,Memory,3773496
133510,Insert,967
133510,Find,611
133510,Delete,902
133510,Memory,3777928
133610,Insert,1686
133610,Find,838
133610,Delete,1507
133610,Memory,3774200
133710,Insert,1045
133710,Find,626
133710,Delete,968
133710,Memory,3782296
133810,Insert,1007
133810,Find,528
133810,Delete,1043
133810,Memory,3780440
133910,Insert,1328
133910,Find,564
133910,Delete,916
133910,Memory,3781928
134010,Insert,3049
134010,Find,697
134010,Delete,880
134010,Memory,3787752
134110,Insert,2053
134110,Find,632
134110,Delete,928
134110,Memory,3790376
134210,Insert,913
134210,Find,586
134210,Delete,999
134210,Memory,3804040
134310,Insert,909
134310,Find,491
134310,Delete,825
134310,Memory,3801960
134410,Insert,919
134410,Find,408
134410,Delete,793
134410,Memory,3803128
134510,Insert,992
134510,Find,526
134510,Delete,839
134510,Memory,3802904
134610,Insert,1084
134610,Find,597
134610,Delete,1060
134610,Memory,3815112
134710,Insert,1181
134710,Find,669
134710,Delete,915
134710,Memory,3805096
134810,Insert,999
134810,Find,500
134810,Delete,845
134810,Memory,3811464
134910,Insert,1257
134910,Find,643
134910,Delete,897
134910,Memory,3813240
135010,Insert,1066
135010,Find,643
135010,Delete,854
135010,Memory,3817000
135110,Insert,1096
135110,Find,538
135110,Delete,868
135110,Memory,3822744
135210,Insert,928
135210,Find,540
135210,Delete,932
135210,Memory,3826440
135310,Insert,1015
135310,Find,586
135310,Delete,1058
135310,Memory,3823896
135410,Insert,1005
135410,Find,580
135410,Delete,899
135410,Memory,3835352
135510,Insert,1149
135510,Find,519
135510,Delete,929
135510,Memory,3829192
135610,Insert,1079
135610,Find,555
135610,Delete,962
135610,Memory,3836344
135710,Insert,1019
135710,Find,543
135710,Delete,912
135710,Memory,3839592
135810,Insert,1097
135810,Find,571
135810,Delete,955
135810,Memory,3841640
135910,Insert,969
135910,Find,573
135910,Delete,963
135910,Memory,3837048
136010,Insert,950
136010,Find,503
136010,Delete,904
136010,Memory,3834488
136110,Insert,1006
136110,Find,573
136110,Delete,955
136110,Memory,3849432
136210,Insert,1183
136210,Find,600
136210,Delete,924
136210,Memory,3863624
136310,Insert,1177
136310,Find,522
136310,Delete,898
136310,Memory,3848664
136410,Insert,1410
136410,Find,741
136410,Delete,1041
136410,Memory,3863208
136510,Insert,1154
136510,Find,520
136510,Delete,837
136510,Memory,3864824
136610,Insert,1064
136610,Find,611
136610,Delete,1047
136610,Memory,3866792
136710,Insert,1062
136710,Find,527
136710,Delete,831
136710,Memory,3862504
136810,Insert,939
136810,Find,452
136810,Delete,1048
136810,Memory,3863928
136910,Insert,1893
136910,Find,556
136910,Delete,829
136910,Memory,3869432
137010,Insert,1154
137010,Find,597
137010,Delete,985
137010,Memory,3869480
137110,Insert,1275
137110,Find,840
137110,Delete,1335
137110,Memory,3865416
137210,Insert,1426
137210,Find,766
137210,Delete,1410
137210,Memory,3878248
137310,Insert,1152
137310,Find,594
137310,Delete,1417
137310,Memory,3889256
137410,Insert,1148
137410,Find,537
137410,Delete,959
137410,Memory,3884856
137510,Insert,1151
137510,Find,578
137510,Delete,925
137510,Memory,3894792
137610,Insert,1019
137610,Find,517
137610,Delete,819
137610,Memory,3896072
137710,Insert,979
137710,Find,647
137710,Delete,896
137710,Memory,3896728
137810,Insert,1261
137810,Find,519
137810,Delete,961
137810,Memory,3900888
137910,Insert,1410
137910,Find,590
137910,Delete,1276
137910,Memory,3896616
138010,Insert,1646
138010,Find,732
138010,Delete,1174
138010,Memory,3894120
138110,Insert,1016
138110,Find,582
138110,Delete,848
138110,Memory,3900520
138210,Insert,869
138210,Find,811
138210,Delete,1430
138210,Memory,3912272
138310,Insert,979
138310,Find,577
138310,Delete,992
138310,Memory,3912552
138410,Insert,934
138410,Find,584
138410,Delete,915
138410,Memory,3910264
138510,Insert,1014
138510,Find,1825
138510,Delete,1369
138510,Memory,3917776
138610,Insert,1475
138610,Find,858
138610,Delete,1104
138610,Memory,3917928
138710,Insert,1161
138710,Find,617
138710,Delete,938
138710,Memory,3921384
138810,Insert,972
138810,Find,656
138810,Delete,948
138810,Memory,3928488
138910,Insert,1491
138910,Find,1419
138910,Delete,1503
138910,Memory,3927464
139010,Insert,1431
139010,Find,561
139010,Delete,1276
139010,Memory,3931592
139110,Insert,1117
139110,Find,984
139110,Delete,1075
139110,Memory,3933896
139210,Insert,1003
139210,Find,644
139210,Delete,929
139210,Memory,3931528
139310,Insert,925
139310,Find,550
139310,Delete,1074
139310,Memory,3944392
139410,Insert,1391
139410,Find,763
139410,Delete,1208
139410,Memory,3936088
139510,Insert,1009
139510,Find,617
139510,Delete,931
139510,Memory,3947912
139610,Insert,1295
139610,Find,669
139610,Delete,945
139610,Memory,3943752
139710,Insert,1082
139710,Find,528
139710,Delete,816
139710,Memory,3952584
139810,Insert,1151
139810,Find,580
139810,Delete,1006
139810,Memory,3953784
139910,Insert,1335
139910,Find,532
139910,Delete,3946
139910,Memory,3954280
140010,Insert,879
140010,Find,559
140010,Delete,965
140010,Memory,3957576
140110,Insert,832
140110,Find,486
140110,Delete,865
140110,Memory,3954256
140210,Insert,1312
140210,Find,564
140210,Delete,939
140210,Memory,3963880
140310,Insert,1641
140310,Find,1011
140310,Delete,1298
140310,Memory,3970872
140410,Insert,1291
140410,Find,601
140410,Delete,919
140410,Memory,3968744
140510,Insert,977
140510,Find,667
140510,Delete,962
140510,Memory,3978024
140610,Insert,897
140610,Find,501
140610,Delete,877
140610,Memory,3976776
140710,Insert,1069
140710,Find,580
140710,Delete,855
140710,Memory,3981688
140810,Insert,981
140810,Find,495
140810,Delete,880
140810,Memory,3979176
140910,Insert,10227
140910,Find,607
140910,Delete,1062
140910,Memory,3983592
141010,Insert,1197
141010,Find,649
141010,Delete,933
141010,Memory,3982440
141110,Insert,1029
141110,Find,555
141110,Delete,918
141110,Memory,3988280
141210,Insert,1134
141210,Find,558
141210,Delete,875
141210,Memory,3994984
141310,Insert,1240
141310,Find,563
141310,Delete,788
141310,Memory,3987320
141410,Insert,1001
141410,Find,630
141410,Delete,1089
141410,Memory,4001848
141510,Insert,999
141510,Find,615
141510,Delete,901
141510,Memory,4011592
141610,Insert,1200
141610,Find,538
141610,Delete,1124
141610,Memory,4004048
141710,Insert,1312
141710,Find,748
141710,Delete,1371
141710,Memory,4018152
141810,Insert,927
141810,Find,497
141810,Delete,890
141810,Memory,4014872
141910,Insert,940
141910,Find,501
141910,Delete,991
141910,Memory,4013480
142010,Insert,1094
142010,Find,726
142010,Delete,935
142010,Memory,4017944
142110,Insert,1167
142110,Find,603
142110,Delete,987
142110,Memory,4012552
142210,Insert,968
142210,Find,502
142210,Delete,992
142210,Memory,4019016
142310,Insert,1051
142310,Find,593
142310,Delete,1079
142310,Memory,4021464
142410,Insert,1040
142410,Find,554
142410,Delete,871
142410,Memory,4034344
142510,Insert,1108
142510,Find,579
142510,Delete,909
142510,Memory,4036904
142610,Insert,1034
142610,Find,642
142610,Delete,980
142610,Memory,4033800
142710,Insert,925
142710,Find,596
142710,Delete,858
142710,Memory,4033480
142810,Insert,965
142810,Find,652
142810,Delete,1170
142810,Memory,4040072
142910,Insert,1118
142910,Find,678
142910,Delete,894
142910,Memory,4044328
143010,Insert,987
143010,Find,599
143010,Delete,993
143010,Memory,4046088
143110,Insert,1509
143110,Find,625
143110,Delete,946
143110,Memory,4049928
143210,Insert,1472
143210,Find,615
143210,Delete,850
143210,Memory,4044904
143310,Insert,994
143310,Find,615
143310,Delete,974
143310,Memory,4048232
143410,Insert,974
143410,Find,620
143410,Delete,863
143410,Memory,4058504
143510,Insert,1162
143510,Find,541
143510,Delete,1023
143510,Memory,4064416
143610,Insert,913
143610,Find,637
143610,Delete,948
143610,Memory,4065936
143710,Insert,1439
143710,Find,781
143710,Delete,1136
143710,Memory,4063928
143810,Insert,1062
143810,Find,655
143810,Delete,847
143810,Memory,4072488
143910,Insert,927
143910,Find,560
143910,Delete,1049
143910,Memory,4070664
144010,Insert,1178
144010,Find,634
144010,Delete,942
144010,Memory,4076680
144110,Insert,1439
144110,Find,642
144110,Delete,908
144110,Memory,4065288
144210,Insert,1184
144210,Find,606
144210,Delete,885
144210,Memory,4078312
144310,Insert,1212
144310,Find,611
144310,Delete,802
144310,Memory,4074568
144410,Insert,1232
144410,Find,503
144410,Delete,876
144410,Memory,4086576
144510,Insert,1230
144510,Find,698
144510,Delete,825
144510,Memory,4084040
144610,Insert,1031
144610,Find,654
144610,Delete,895
144610,Memory,4095336
144710,Insert,1329
144710,Find,569
144710,Delete,885
144710,Memory,4095304
144810,Insert,1192
144810,Find,700
144810,Delete,1346
144810,Memory,4093464
144910,Insert,1926
144910,Find,986
144910,Delete,1568
144910,Memory,4108008
145010,Insert,1123
145010,Find,573
145010,Delete,892
145010,Memory,4092840
145110,Insert,927
145110,Find,616
145110,Delete,973
145110,Memory,4097992
145210,Insert,1428
145210,Find,1008
145210,Delete,1494
145210,Memory,4102264
145310,Insert,1103
145310,Find,606
145310,Delete,1010
145310,Memory,4098248
145410,Insert,1190
145410,Find,620
145410,Delete,896
145410,Memory,4114024
145510,Insert,1441
145510,Find,737
145510,Delete,857
145510,Memory,4116336
145610,Insert,1539
145610,Find,854
145610,Delete,1553
145610,Memory,4121320
145710,Insert,1058
145710,Find,622
145710,Delete,1242
145710,Memory,4124168
145810,Insert,1188
145810,Find,603
145810,Delete,886
145810,Memory,4127144
145910,Insert,1135
145910,Find,681
145910,Delete,837
145910,Memory,4122152
146010,Insert,1075
146010,Find,609
146010,Delete,1221
146010,Memory,4121448
146110,Insert,1487
146110,Find,901
146110,Delete,1242
146110,Memory,4128456
146210,Insert,1111
146210,Find,643
146210,Delete,881
146210,Memory,4134472
146310,Insert,967
146310,Find,552
146310,Delete,923
146310,Memory,4126392
146410,Insert,829
146410,Find,463
146410,Delete,853
146410,Memory,4135128
146510,Insert,1099
146510,Find,558
146510,Delete,911
146510,Memory,4147400
146610,Insert,989
146610,Find,679
146610,Delete,997
146610,Memory,4150792
146710,Insert,1145
146710,Find,420
146710,Delete,933
146710,Memory,4141744
146810,Insert,969
146810,Find,552
146810,Delete,981
146810,Memory,4157096
146910,Insert,1161
146910,Find,606
146910,Delete,1012
146910,Memory,4152264
147010,Insert,1124
147010,Find,634
147010,Delete,984
147010,Memory,4153512
147110,Insert,1063
147110,Find,576
147110,Delete,900
147110,Memory,4155096
147210,Insert,965
147210,Find,568
147210,Delete,972
147210,Memory,4159272
147310,Insert,883
147310,Find,565
147310,Delete,985
147310,Memory,4165784
147410,Insert,1197
147410,Find,625
147410,Delete,935
147410,Memory,4157448
147510,Insert,1221
147510,Find,660
147510,Delete,1084
147510,Memory,4180328
147610,Insert,1273
147610,Find,640
147610,Delete,860
147610,Memory,4182256
147710,Insert,1446
147710,Find,568
147710,Delete,1026
147710,Memory,4179288
147810,Insert,1127
147810,Find,559
147810,Delete,934
147810,Memory,4179528
147910,Insert,1062
147910,Find,573
147910,Delete,1006
147910,Memory,4175672
148010,Insert,961
148010,Find,651
148010,Delete,897
148010,Memory,4179272
148110,Insert,1442
148110,Find,945
148110,Delete,1364
148110,Memory,4184136
148210,Insert,869
148210,Find,534
148210,Delete,1009
148210,Memory,4188008
148310,Insert,1953
148310,Find,1117
148310,Delete,1632
148310,Memory,4190136
148410,Insert,851
148410,Find,529
148410,Delete,1115
148410,Memory,4195688
148510,Insert,1148
148510,Find,628
148510,Delete,868
148510,Memory,4208744
148610,Insert,4614
148610,Find,677
148610,Delete,904
148610,Memory,4203912
148710,Insert,1399
148710,Find,552
148710,Delete,828
148710,Memory,4208776
148810,Insert,1350
148810,Find,619
148810,Delete,1075
148810,Memory,4211144
148910,Insert,1467
148910,Find,663
148910,Delete,1069
148910,Memory,4210024
149010,Insert,1883
149010,Find,680
149010,Delete,1472
149010,Memory,4215352
149110,Insert,1807
149110,Find,560
149110,Delete,1004
149110,Memory,4209200
149210,Insert,2515
149210,Find,793
149210,Delete,1006
149210,Memory,4219752
149310,Insert,1955
149310,Find,619
149310,Delete,1172
149310,Memory,4227400
149410,Insert,1679
149410,Find,604
149410,Delete,865
149410,Memory,4217256
149510,Insert,1060
149510,Find,685
149510,Delete,1037
149510,Memory,4231384
149610,Insert,925
149610,Find,494
149610,Delete,1059
149610,Memory,4236072
149710,Insert,1315
149710,Find,608
149710,Delete,875
149710,Memory,4239224
149810,Insert,1198
149810,Find,682
149810,Delete,1020
149810,Memory,4239432
149910,Insert,1101
149910,Find,751
149910,Delete,950
149910,Memory,4240520
150010,Insert,1078
150010,Find,587
150010,Delete,856
150010,Memory,4241640
150110,Insert,1194
150110,Find,639
150110,Delete,951
150110,Memory,4244200
150210,Insert,1280
150210,Find,613
150210,Delete,935
150210,Memory,4250616
150310,Insert,1265
150310,Find,698
150310,Delete,957
150310,Memory,4246120
150410,Insert,1159
150410,Find,654
150410,Delete,933
150410,Memory,4254984
150510,Insert,3034
150510,Find,604
150510,Delete,837
150510,Memory,4258984
150610,Insert,1254
150610,Find,525
150610,Delete,903
150610,Memory,4257496
150710,Insert,1030
150710,Find,557
150710,Delete,869
150710,Memory,4265144
150810,Insert,1606
150810,Find,589
150810,Delete,877
150810,Memory,4261976
150910,Insert,1141
150910,Find,624
150910,Delete,948
150910,Memory,4272872
151010,Insert,1491
151010,Find,598
151010,Delete,1049
151010,Memory,4259472
151110,Insert,1189
151110,Find,722
151110,Delete,944
151110,Memory,4279368
151210,Insert,1296
151210,Find,642
151210,Delete,922
151210,Memory,4267640
151310,Insert,1108
151310,Find,502
151310,Delete,957
151310,Memory,4281032
151410,Insert,1684
151410,Find,761
151410,Delete,1043
151410,Memory,4274040
151510,Insert,1295
151510,Find,823
151510,Delete,1214
151510,Memory,4280328
151610,Insert,1308
151610,Find,689
151610,Delete,886
151610,Memory,4287432
151710,Insert,886
151710,Find,545
151710,Delete,1099
151710,Memory,4284200
151810,Insert,834
151810,Find,588
151810,Delete,868
151810,Memory,4302552
151910,Insert,1202
151910,Find,536
151910,Delete,956
151910,Memory,4293544
152010,Insert,1011
152010,Find,533
152010,Delete,991
152010,Memory,4297480
152110,Insert,854
152110,Find,581
152110,Delete,1035
152110,Memory,4292328
152210,Insert,862
152210,Find,510
152210,Delete,831
152210,Memory,4304696
152310,Insert,1161
152310,Find,481
152310,Delete,870
152310,Memory,4308904
152410,Insert,937
152410,Find,577
152410,Delete,861
152410,Memory,4305448
152510,Insert,1147
152510,Find,580
152510,Delete,840
152510,Memory,4313368
152610,Insert,844
152610,Find,514
152610,Delete,1000
152610,Memory,4318952
152710,Insert,1157
152710,Find,452
152710,Delete,874
152710,Memory,4319408
152810,Insert,1169
152810,Find,582
152810,Delete,872
152810,Memory,4323976
152910,Insert,1399
152910,Find,637
152910,Delete,868
152910,Memory,4328456
153010,Insert,1651
153010,Find,783
153010,Delete,1285
153010,Memory,4327592
153110,Insert,1053
153110,Find,628
153110,Delete,932
153110,Memory,4326200
153210,Insert,931
153210,Find,476
153210,Delete,973
153210,Memory,4335528
153310,Insert,1053
153310,Find,613
153310,Delete,855
153310,Memory,4334696
153410,Insert,1219
153410,Find,612
153410,Delete,904
153410,Memory,4335528
153510,Insert,1074
153510,Find,576
153510,Delete,1010
153510,Memory,4336216
153610,Insert,1509
153610,Find,556
153610,Delete,897
153610,Memory,4350440
153710,Insert,1174
153710,Find,608
153710,Delete,965
153710,Memory,4351128
153810,Insert,1557
153810,Find,1073
153810,Delete,1521
153810,Memory,4352200
153910,Insert,824
153910,Find,611
153910,Delete,974
153910,Memory,4348744
154010,Insert,936
154010,Find,484
154010,Delete,966
154010,Memory,4346352
154110,Insert,1186
154110,Find,614
154110,Delete,11283
154110,Memory,4357256
154210,Insert,906
154210,Find,561
154210,Delete,896
154210,Memory,4360504
154310,Insert,996
154310,Find,621
154310,Delete,960
154310,Memory,4353224
154410,Insert,1010
154410,Find,558
154410,Delete,910
154410,Memory,4369112
154510,Insert,842
154510,Find,613
154510,Delete,973
154510,Memory,4365656
154610,Insert,1229
154610,Find,666
154610,Delete,937
154610,Memory,4369832
154710,Insert,1333
154710,Find,695
154710,Delete,950
154710,Memory,4376008
154810,Insert,1915
154810,Find,975
154810,Delete,1482
154810,Memory,4382520
154910,Insert,1672
154910,Find,598
154910,Delete,905
154910,Memory,4377616
155010,Insert,1077
155010,Find,551
155010,Delete,930
155010,Memory,4385368
155110,Insert,1654
155110,Find,895
155110,Delete,1287
155110,Memory,4380712
155210,Insert,1083
155210,Find,648
155210,Delete,939
155210,Memory,4388328
155310,Insert,1149
155310,Find,641
155310,Delete,986
155310,Memory,4389832
155410,Insert,1885
155410,Find,838
155410,Delete,1417
155410,Memory,4392904
155510,Insert,1203
155510,Find,534
155510,Delete,962
155510,Memory,4393480
155610,Insert,1206
155610,Find,602
155610,Delete,1043
155610,Memory,4393512
155710,Insert,1402
155710,Find,702
155710,Delete,912
155710,Memory,4403176
155810,Insert,1380
155810,Find,592
155810,Delete,868
155810,Memory,4406168
155910,Insert,972
155910,Find,703
155910,Delete,828
155910,Memory,4406888
156010,Insert,991
156010,Find,528
156010,Delete,1050
156010,Memory,4411400
156110,Insert,1034
156110,Find,718
156110,Delete,989
156110,Memory,4413832
156210,Insert,1119
156210,Find,601
156210,Delete,836
156210,Memory,4416616
156310,Insert,1069
156310,Find,572
156310,Delete,1086
156310,Memory,4417832
156410,Insert,1207
156410,Find,568
156410,Delete,940
156410,Memory,4418872
156510,Insert,1383
156510,Find,675
156510,Delete,981
156510,Memory,4419464
156610,Insert,1232
156610,Find,538
156610,Delete,1236
156610,Memory,4424104
156710,Insert,1422
156710,Find,674
156710,Delete,1378
156710,Memory,4439800
156810,Insert,1189
156810,Find,534
156810,Delete,939
156810,Memory,4439336
156910,Insert,1164
156910,Find,715
156910,Delete,824
156910,Memory,4441608
157010,Insert,1158
157010,Find,675
157010,Delete,997
157010,Memory,4443976
157110,Insert,1412
157110,Find,747
157110,Delete,1032
157110,Memory,4437336
157210,Insert,1491
157210,Find,735
157210,Delete,1224
157210,Memory,4445096
157310,Insert,1576
157310,Find,968
157310,Delete,824
157310,Memory,4440440
157410,Insert,1243
157410,Find,645
157410,Delete,995
157410,Memory,4451352
157510,Insert,1427
157510,Find,844
157510,Delete,1384
157510,Memory,4449272
157610,Insert,1257
157610,Find,608
157610,Delete,922
157610,Memory,4452088
157710,Insert,1492
157710,Find,601
157710,Delete,1196
157710,Memory,4465192
157810,Insert,1283
157810,Find,686
157810,Delete,932
157810,Memory,4465912
157910,Insert,913
157910,Find,628
157910,Delete,895
157910,Memory,4471496
158010,Insert,952
158010,Find,724
158010,Delete,1003
158010,Memory,4466280
158110,Insert,2640
158110,Find,609
158110,Delete,957
158110,Memory,4479976
158210,Insert,1378
158210,Find,791
158210,Delete,1026
158210,Memory,4467928
158310,Insert,1214
158310,Find,583
158310,Delete,888
158310,Memory,4470792
158410,Insert,855
158410,Find,622
158410,Delete,918
158410,Memory,4481192
158510,Insert,1144
158510,Find,607
158510,Delete,1144
158510,Memory,4475848
158610,Insert,1237
158610,Find,582
158610,Delete,878
158610,Memory,4480472
158710,Insert,1825
158710,Find,623
158710,Delete,875
158710,Memory,4483336
158810,Insert,1036
158810,Find,708
158810,Delete,1144
158810,Memory,4493896
158910,Insert,1326
158910,Find,641
158910,Delete,964
158910,Memory,4495624
159010,Insert,1951
159010,Find,504
159010,Delete,869
159010,Memory,4494168
159110,Insert,2327
159110,Find,642
159110,Delete,997
159110,Memory,4496424
159210,Insert,1856
159210,Find,898
159210,Delete,1488
159210,Memory,4500088
159310,Insert,1559
159310,Find,783
159310,Delete,1087
159310,Memory,4494312
159410,Insert,1326
159410,Find,697
159410,Delete,1038
159410,Memory,4505960
159510,Insert,1849
159510,Find,739
159510,Delete,1133
159510,Memory,4512328
159610,Insert,1739
159610,Find,598
159610,Delete,872
159610,Memory,4509368
159710,Insert,1318
159710,Find,608
159710,Delete,882
159710,Memory,4508552
159810,Insert,1146
159810,Find,643
159810,Delete,926
159810,Memory,4526392
159910,Insert,1927
159910,Find,929
159910,Delete,1616
159910,Memory,4523880
160010,Insert,1319
160010,Find,593
160010,Delete,934
160010,Memory,4524440
160110,Insert,1140
160110,Find,752
160110,Delete,963
160110,Memory,4524264
160210,Insert,1001
160210,Find,627
160210,Delete,835
160210,Memory,4527672
160310,Insert,1856
160310,Find,1057
160310,Delete,1480
160310,Memory,4534760
160410,Insert,1726
160410,Find,1027
160410,Delete,1805
160410,Memory,4536376
160510,Insert,1473
160510,Find,902
160510,Delete,1074
160510,Memory,4538248
160610,Insert,1368
160610,Find,580
160610,Delete,916
160610,Memory,4540952
160710,Insert,1363
160710,Find,585
160710,Delete,943
160710,Memory,4534088
160810,Insert,1430
160810,Find,730
160810,Delete,940
160810,Memory,4550968
160910,Insert,1181
160910,Find,595
160910,Delete,1034
160910,Memory,4550952
161010,Insert,1834
161010,Find,1026
161010,Delete,1631
161010,Memory,4556344
161110,Insert,1175
161110,Find,758
161110,Delete,1040
161110,Memory,4558216
161210,Insert,1287
161210,Find,637
161210,Delete,880
161210,Memory,4555352
161310,Insert,1129
161310,Find,587
161310,Delete,1123
